filename,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39
A_B_Open (1).wav,0.03943108394742012,1583.3251023471116,1488.9896850171892,3369.5240693933824,0.10787185968137254,-497.173583984375,97.48402404785156,39.15171813964844,13.56578254699707,-9.926426887512207,-8.471949577331543,-19.477832794189453,-15.648234367370605,-13.82837963104248,-11.759886741638184,-13.272971153259277,-14.135353088378906,-9.024067878723145,-14.183415412902832,-8.318768501281738,-5.784992218017578,-6.844704627990723,-8.008944511413574,-7.862553119659424,-6.598043918609619,-6.886147499084473,-3.910135269165039,-4.974566459655762,-4.66475772857666,-2.449014186859131,-1.162727952003479,-1.7553943395614624,-1.062764286994934,-1.7188798189163208,-1.9111807346343994,-0.5355277061462402,-2.8849895000457764,-2.287137269973755,-1.0730098485946655,-0.9563059210777283,-1.6166951656341553,-1.4668216705322266,-0.9569705128669739,-1.1641266345977783
A_B_Open (10).wav,0.0489434190094471,1659.518611072024,1495.0384389484968,3296.1836145279253,0.11954579454787234,-467.6689758300781,96.12203216552734,31.333332061767578,5.932671070098877,-9.061729431152344,-7.89052677154541,-16.88273048400879,-13.178861618041992,-11.592012405395508,-11.338024139404297,-11.599217414855957,-12.321440696716309,-9.868645668029785,-10.792743682861328,-4.442142009735107,-3.3756868839263916,-4.333821773529053,-8.1049165725708,-7.402339935302734,-5.118153095245361,-7.900595188140869,-4.306031227111816,-4.719888687133789,-5.295073509216309,-4.295173645019531,-2.9765517711639404,-2.668260097503662,-2.7837443351745605,-1.7691763639450073,-1.9858320951461792,0.10469971597194672,-1.4401904344558716,-2.20133638381958,-0.5396448373794556,-1.0922664403915405,-1.9577785730361938,-1.4545910358428955,-0.7591553330421448,-1.377480149269104
A_B_Open (2).wav,0.04554325342178345,1718.650737595863,1433.1943437982993,3151.025390625,0.14011501736111112,-470.39361572265625,98.39930725097656,34.37055206298828,12.29564094543457,-14.295259475708008,-12.34081745147705,-18.36687660217285,-14.03261947631836,-15.169918060302734,-12.695255279541016,-12.238300323486328,-14.476007461547852,-7.7466349601745605,-10.141584396362305,-3.24817156791687,-2.938979148864746,-5.463849067687988,-6.3344902992248535,-7.369848728179932,-6.809112548828125,-7.507757663726807,-2.2856709957122803,-5.012331008911133,-5.670741081237793,-1.6018431186676025,-2.409090757369995,-4.088651180267334,-1.4994823932647705,-0.4564477801322937,-2.05254864692688,0.2734038829803467,-2.6142005920410156,-2.381610870361328,0.1155213862657547,-1.1858311891555786,-1.5891690254211426,-1.9013807773590088,0.4431937336921692,-0.572662353515625
A_B_Open (3).wav,0.005170431453734636,1982.643407625046,1799.1839895001224,3843.6767578125,0.15486653645833334,-606.0939331054688,88.4225845336914,6.095428466796875,11.65966796875,-21.291316986083984,-0.7335489392280579,-27.704771041870117,-15.743431091308594,-12.730636596679688,-12.728004455566406,-12.434826850891113,-17.265504837036133,-5.325109481811523,-12.860058784484863,-4.163208484649658,-7.358523845672607,-4.775113582611084,-7.749382495880127,-8.792685508728027,-4.529944896697998,-9.608187675476074,-1.4888960123062134,-6.007785320281982,-5.505074977874756,-2.0458590984344482,-0.8249635100364685,-2.4055843353271484,-3.03566575050354,-0.7645266056060791,-2.354980707168579,1.4766119718551636,-0.6788561940193176,-2.8407275676727295,-2.472547769546509,-0.25540462136268616,0.34873294830322266,1.073038101196289,0.6951403021812439,-1.5253887176513672
A_B_Open (4).wav,0.07147915661334991,1538.2691143966777,1358.666536812683,2885.863318810096,0.11615459735576923,-421.64959716796875,108.67123413085938,24.64951515197754,13.439427375793457,-4.324948310852051,-14.460376739501953,-37.188846588134766,-17.785480499267578,-7.541871070861816,-13.74571418762207,-12.920496940612793,-16.531925201416016,-10.84431266784668,-10.090543746948242,-3.4197607040405273,-2.8642849922180176,-7.47226619720459,-10.608047485351562,-6.911623477935791,-5.146871566772461,-10.762067794799805,-3.330596446990967,-3.7533977031707764,-5.925015926361084,-3.2968835830688477,-2.8513286113739014,-1.0675733089447021,-3.1546785831451416,-4.009147644042969,-3.396958589553833,-0.27273255586624146,-0.8842141628265381,-3.661989688873291,-1.0827159881591797,-0.8059771060943604,-1.5933343172073364,-1.9468411207199097,-1.408548355102539,-0.603688657283783
A_B_Open (5).wav,0.07061337679624557,1560.2439268295939,1383.8153803765745,2977.3409111555234,0.12199082485465117,-456.9640197753906,118.7949447631836,38.704185485839844,12.415809631347656,-20.688508987426758,-11.493443489074707,-25.89136505126953,-13.255016326904297,-14.605335235595703,-14.016389846801758,-14.457295417785645,-20.146411895751953,-8.934804916381836,-10.739875793457031,-3.1324141025543213,-6.395008087158203,-7.029670238494873,-7.296055316925049,-8.188189506530762,-7.490246295928955,-11.615150451660156,-2.7488279342651367,-4.40751838684082,-7.0536789894104,-2.4301464557647705,-2.994271993637085,-4.649157524108887,-2.158328056335449,-2.45139479637146,-4.346314430236816,-0.4137811064720154,-1.7865993976593018,-3.3089263439178467,-0.39599961042404175,-1.1787575483322144,-2.5852928161621094,-1.9028472900390625,-1.5450732707977295,-1.158840298652649
A_B_Open (6).wav,0.040615104138851166,1599.885595620969,1472.8575317246411,3001.318359375,0.12932477678571427,-491.7419128417969,103.86234283447266,34.53392028808594,19.14498519897461,-12.600937843322754,-12.332372665405273,-24.94857406616211,-14.52977180480957,-13.523859977722168,-14.127358436584473,-11.940644264221191,-15.380359649658203,-6.559830665588379,-9.986092567443848,-5.276760101318359,-4.962183475494385,-7.431861400604248,-8.580815315246582,-8.099736213684082,-6.920731544494629,-9.300675392150879,-2.3335177898406982,-5.032950401306152,-6.923343658447266,-2.482194423675537,-2.9391393661499023,-3.834965705871582,-1.7386728525161743,-0.6548827886581421,-1.5133440494537354,0.5305479764938354,-2.6313724517822266,-3.283095121383667,-1.0947202444076538,-2.040675640106201,-0.9321776628494263,-0.9801028966903687,-0.5833461284637451,-0.033612657338380814
A_B_Open (7).wav,0.04605315253138542,1648.2505356750257,1487.3062210486044,3136.1572265625,0.12333751860119048,-478.1477355957031,97.977783203125,32.69077682495117,11.782366752624512,-15.139775276184082,-9.447532653808594,-20.166738510131836,-16.557016372680664,-14.436857223510742,-13.563079833984375,-11.080157279968262,-14.14924144744873,-7.0735955238342285,-7.090289115905762,-4.006479263305664,-4.354241847991943,-5.24069881439209,-8.48560905456543,-9.80543327331543,-7.556575775146484,-7.7581658363342285,-2.0570499897003174,-6.182851314544678,-7.051843643188477,-1.264548659324646,-2.329943895339966,-3.4164159297943115,-1.089330792427063,-2.1387500762939453,-3.459022045135498,1.2590826749801636,-0.7738863825798035,-3.0824010372161865,-1.166765809059143,-0.8560190796852112,-1.8800652027130127,-3.211357593536377,-0.25651460886001587,0.3698391020298004
A_B_Open (8).wav,0.004738156683743,1938.6665593335988,1870.5276452859098,4095.4763104838707,0.15479303175403225,-614.5282592773438,76.66646575927734,10.530978202819824,9.038725852966309,-14.596665382385254,-3.6121792793273926,-19.97300148010254,-10.176520347595215,-9.270072937011719,-9.049358367919922,-8.15720272064209,-13.750091552734375,-8.26899528503418,-11.448369979858398,-5.504670143127441,-8.3212251663208,-7.257959842681885,-8.531681060791016,-7.200732231140137,-5.507510185241699,-7.39539098739624,-1.7200673818588257,-3.9722747802734375,-1.9965472221374512,-1.7655655145645142,-0.8276335597038269,-1.5135527849197388,-1.441792368888855,-0.6253032684326172,-2.029574394226074,0.512833833694458,-1.7874228954315186,0.6017225384712219,1.2269352674484253,-0.43214988708496094,-0.19773687422275543,-0.6112021207809448,-1.004770040512085,-0.9978444576263428
A_B_Open (9).wav,0.04636770486831665,1607.516477954576,1476.5529226081933,3374.590705422794,0.11485140931372549,-486.4544982910156,103.00765991210938,27.354936599731445,-1.121712327003479,-12.35908317565918,-5.588756084442139,-17.593996047973633,-15.09262752532959,-10.06161117553711,-12.344063758850098,-14.388527870178223,-13.604814529418945,-9.041364669799805,-9.644166946411133,-4.484419822692871,-5.896204948425293,-6.227068901062012,-7.857107162475586,-9.886613845825195,-6.229313850402832,-7.532186031341553,-2.944842576980591,-2.8753318786621094,-5.804595470428467,-3.1091153621673584,-3.04231333732605,-3.1056880950927734,-1.7993837594985962,-1.5931670665740967,-1.5938231945037842,-1.010953664779663,-2.9507834911346436,-2.241582155227661,-0.4034689962863922,-2.2395331859588623,-1.8942162990570068,-0.6806449890136719,-1.0136394500732422,-1.3241214752197266
